chapter_key,chapter_name,chapter_type_code,university,district,region,status_code,is_dechartered
830,Sigma Delta Lambda,alumni,,Michigan,Midwestern,Active,false
778,Sigma Epsilon,collegiate,Tarleton State University,Texas,Southwestern,Active,false
832,Sigma Epsilon Lambda,alumni,,Canada,Midwestern,Active,false
780,Sigma Eta,collegiate,Suny at New Paltz,New York,Eastern,Inactive,false
836,Sigma Eta Lambda,alumni,,Georgia,Southern,Active,false
776,Sigma Gamma,collegiate,"Xavier University, Cincinnati",Ohio,Midwestern,Cease and Desist,false
679,Sigma Gamma Lambda,alumni,,Texas,Southwestern,Active,false
782,Sigma Iota,collegiate,University of Toronto,Canada,Midwestern,Dechartered,true
843,Sigma Iota Lambda,alumni,,Mississippi,Southern,Active,false
783,Sigma Kappa,collegiate,Missouri Western State University,Missouri,Midwestern,Active,false
852,Sigma Kappa Lambda,alumni,,Indiana,Midwestern,Active,false
117,Sigma Lambda,alumni,,Louisiana,Southwestern,Active,false
784,Sigma Mu,collegiate,Adelphi University,New York,Eastern,Active,false
858,Sigma Mu Lambda,alumni,,Pennsylvania,Eastern,Active,false
785,Sigma Nu,collegiate,William Paterson University,New Jersey,Eastern,Inactive,false
859,Sigma Nu Lambda,alumni,,Missouri,Midwestern,Active,false
787,Sigma Omicron,collegiate,Suny at Oswego,New York,Eastern,Inactive,false
861,Sigma Omicron Lambda,alumni,,Georgia,Southern,Active,false
793,Sigma Phi,collegiate,Indiana University - Purdue University at Indianapolis,Indiana,Midwestern,Active,false
870,Sigma Phi Lambda,alumni,,Arkansas,Southwestern,Active,false
788,Sigma Pi,collegiate,University of Lynchburg,Virginia,Eastern,Inactive,false
862,Sigma Pi Lambda,alumni,,Florida,Southern,Active,false
795,Sigma Psi,collegiate,University of Nevada Las Vegas,"Arizona, Nevada, New Mexico",Western,Active,false
872,Sigma Psi Lambda,alumni,,International,Eastern,Active,false
789,Sigma Rho,collegiate,,South Carolina,Southern,Dechartered,true
863,Sigma Rho Lambda,alumni,,Tennessee,Southern,Active,false
790,Sigma Sigma,collegiate,Johns Hopkins University,"Washington DC, Maryland, Delaware",Eastern,Active,false
867,Sigma Sigma Lambda,alumni,,Mississippi,Southern,Active,false
791,Sigma Tau,collegiate,University of South Carolina Columbia,South Carolina,Southern,Active,false
868,Sigma Tau Lambda,alumni,,South Carolina,Southern,Active,false
781,Sigma Theta,collegiate,Missouri State University,Missouri,Midwestern,Active,false
839,Sigma Theta Lambda,alumni,,Georgia,Southern,Active,false
792,Sigma Upsilon,collegiate,University of North Florida,Florida,Southern,Active,false
869,Sigma Upsilon Lambda,alumni,,Wisconsin,Midwestern,Active,false
786,Sigma Xi,collegiate,,New Jersey,Eastern,Dechartered,true
860,Sigma Xi Lambda,alumni,,Kentucky,Midwestern,Active,false
779,Sigma Zeta,collegiate,Trinity College,New England,Eastern,Inactive,false
834,Sigma Zeta Lambda,alumni,,New Jersey,Eastern,Active,false
18,Tau,collegiate,University of Illinois Urbana-Champaign,Illinois,Midwestern,Active,false
796,Tau Alpha,collegiate,Baylor University,Texas,Southwestern,Active,false
873,Tau Alpha Lambda,alumni,,International,Eastern,Inactive,false
797,Tau Beta,collegiate,Louisiana State University at Shreveport,Louisiana,Southwestern,Inactive,false
874,Tau Beta Lambda,alumni,,Florida,Southern,Inactive,false
816,Tau Chi,collegiate,University of West Georgia,Georgia,Southern,Inactive,false
799,Tau Delta,collegiate,Florida International University,Florida,Southern,Inactive,false
876,Tau Delta Lambda,alumni,,Florida,Southern,Active,false
800,Tau Epsilon,collegiate,Clayton State University,Georgia,Southern,Active,false
877,Tau Epsilon Lambda,alumni,,Georgia,Southern,Active,false
802,Tau Eta,collegiate,The College of Charleston,South Carolina,Southern,Active,false
884,Tau Eta Lambda,alumni,,Mississippi,Southern,Active,false
798,Tau Gamma,collegiate,,Florida,Southern,Dechartered,true
875,Tau Gamma Lambda,alumni,,Georgia,Southern,Active,false
804,Tau Iota,collegiate,Samford University,Alabama,Southern,Active,false
886,Tau Iota Lambda,alumni,,Tennessee,Southern,Active,false
805,Tau Kappa,collegiate,Oakland University,Michigan,Midwestern,Active,false
887,Tau Kappa Lambda,alumni,,Florida,Southern,Active,false
118,Tau Lambda,alumni,,Tennessee,Southern,Active,false
806,Tau Mu,collegiate,,Texas,Southwestern,Dechartered,true
889,Tau Mu Lambda,alumni,,Southern California,Western,Active,false
807,Tau Nu,collegiate,University of North Carolina at Pembroke,North Carolina,Southern,Active,false
890,Tau Nu Lambda,alumni,,New York,Eastern,Active,false
809,Tau Omicron,collegiate,Davidson College,North Carolina,Southern,Active,false
892,Tau Omicron Lambda,alumni,,Texas,Southwestern,Active,false
815,Tau Phi,collegiate,Austin Peay State University,Tennessee,Southern,Active,false
899,Tau Phi Lambda,alumni,,Arkansas,Southwestern,Provisional/Alumni,false
810,Tau Pi,collegiate,The University of Tampa,Florida,Southern,Inactive,false
893,Tau Pi Lambda,alumni,,Texas,Southwestern,Active,false
817,Tau Psi,collegiate,The University of Tennessee at Martin,Tennessee,Southern,Active,false
811,Tau Rho,collegiate,University of North Georgia,Georgia,Southern,Inactive,false
894,Tau Rho Lambda,alumni,,Illinois,Midwestern,Active,false
812,Tau Sigma,collegiate,University of New Mexico,"Arizona, Nevada, New Mexico",Western,Active,false
895,Tau Sigma Lambda,alumni,,Illinois,Midwestern,Provisional/Alumni,false
813,Tau Tau,collegiate,Houston Christian University,Texas,Southwestern,Active,false
897,Tau Tau Lambda,alumni,,Georgia,Southern,Provisional/Alumni,false
803,Tau Theta,collegiate,Stetson University,Florida,Southern,Dechartered,true
885,Tau Theta Lambda,alumni,,Missouri,Midwestern,Active,false
814,Tau Upsilon,collegiate,Purdue University Northwest,Indiana,Midwestern,Inactive,false
898,Tau Upsilon Lambda,alumni,,Georgia,Southern,Provisional/Alumni,false
808,Tau Xi,collegiate,The University of Texas at Dallas,Texas,Southwestern,Inactive,false
891,Tau Xi Lambda,alumni,,,Western,Provisional/Alumni,false
801,Tau Zeta,collegiate,Kennesaw State University,Georgia,Southern,Inactive,false
878,Tau Zeta Lambda,alumni,,Florida,Southern,Active,false
8,Theta,collegiate,University of Ill at Chicago,Illinois,Midwestern,Active,false
376,Theta Alpha,collegiate,Jarvis Christian College,Texas,Southwestern,Active,false
278,Theta Alpha Lambda,alumni,,Alabama,Southern,Active,false
377,Theta Beta,collegiate,Columbus State University,Georgia,Southern,Active,false
279,Theta Beta Lambda,alumni,,Northern California,Western,Dechartered,true
