chapter_key,chapter_name,district,region,district_director_name,district_director_email,regional_vice_president_name,regional_vice_president_email
81,Gamma Pi,South Carolina,Southern,,,,
181,Gamma Pi Lambda,Texas,Southwestern,,,,
88,Gamma Psi,North Carolina,Southern,,,,
188,Gamma Psi Lambda,North Carolina,Southern,,,,
82,Gamma Rho,Indiana,Midwestern,,,,
182,Gamma Rho Lambda,Indiana,Midwestern,,,,
83,Gamma Sigma,"Washington DC, Maryland, Delaware",Eastern,,,,
183,Gamma Sigma Lambda,Georgia,Southern,,,,
84,Gamma Tau,Michigan,Midwestern,,,,
184,Gamma Tau Lambda,Texas,Southwestern,,,,
74,Gamma Theta,Ohio,Midwestern,,,,
174,Gamma Theta Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
85,Gamma Upsilon,Mississippi,Southern,,,,
185,Gamma Upsilon Lambda,Texas,Southwestern,,,,
79,Gamma Xi,Southern California,Western,,,,
179,Gamma Xi Lambda,Minnesota,Midwestern,,,,
72,Gamma Zeta,Georgia,Southern,,,,
172,Gamma Zeta Lambda,Florida,Southern,,,,
201,General Organization,District 700,Region 7,,,,
9,Iota,Georgia,Southern,,,,
398,Iota Alpha,Virginia,Eastern,,,,
502,Iota Alpha Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
399,Iota Beta,Virginia,Eastern,,,,
503,Iota Beta Lambda,Florida,Southern,,,,
418,Iota Chi,Southern California,Western,,,,
522,Iota Chi Lambda,Michigan,Midwestern,,,,
401,Iota Delta,Florida,Southern,,,,
505,Iota Delta Lambda,Illinois,Midwestern,,,,
402,Iota Epsilon,Michigan,Midwestern,,,,
506,Iota Epsilon Lambda,Florida,Southern,,,,
404,Iota Eta,Georgia,Southern,,,,
508,Iota Eta Lambda,South Carolina,Southern,,,,
400,Iota Gamma,Mississippi,Southern,,,,
504,Iota Gamma Lambda,Georgia,Southern,,,,
406,Iota Iota,New Jersey,Eastern,,,,
510,Iota Iota Lambda,New York,Eastern,,,,
407,Iota Kappa,Texas,Southwestern,,,,
511,Iota Kappa Lambda,New York,Eastern,,,,
109,Iota Lambda,Indiana,Midwestern,,,,
408,Iota Mu,Texas,Southwestern,,,,
512,Iota Mu Lambda,Great Northwest,Western,,,,
409,Iota Nu,Alabama,Southern,,,,
513,Iota Nu Lambda,Northern California,Western,,,,
411,Iota Omicron,Texas,Southwestern,,,,
515,Iota Omicron Lambda,Rocky Mountain (Colorado/Utah),Western,,,,
417,Iota Phi,Ohio,Midwestern,,,,
521,Iota Phi Lambda,Michigan,Midwestern,,,,
412,Iota Pi,Illinois,Midwestern,,,,
516,Iota Pi Lambda,Florida,Southern,,,,
419,Iota Psi,Southern California,Western,,,,
523,Iota Psi Lambda,"Arizona, Nevada, New Mexico",Western,,,,
413,Iota Rho,New Jersey,Eastern,,,,
517,Iota Rho Lambda,Michigan,Midwestern,,,,
414,Iota Sigma,Pennsylvania,Eastern,,,,
518,Iota Sigma Lambda,Florida,Southern,,,,
415,Iota Tau,Great Northwest,Western,,,,
519,Iota Tau Lambda,Virginia,Eastern,,,,
405,Iota Theta,Indiana,Midwestern,,,,
509,Iota Theta Lambda,New York,Eastern,,,,
416,Iota Upsilon,Rocky Mountain (Colorado/Utah),Western,,,,
520,Iota Upsilon Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
410,Iota Xi,Missouri,Midwestern,,,,
514,Iota Xi Lambda,Louisiana,Southwestern,,,,
403,Iota Zeta,"Washington DC, Maryland, Delaware",Eastern,,,,
507,Iota Zeta Lambda,Southern California,Western,,,,
10,Kappa,Ohio,Midwestern,,,,
420,Kappa Alpha,Alabama,Southern,,,,
524,Kappa Alpha Lambda,Northern California,Western,,,,
421,Kappa Beta,Mississippi,Southern,,,,
525,Kappa Beta Lambda,Pennsylvania,Eastern,,,,
440,Kappa Chi,South Carolina,Southern,,,,
544,Kappa Chi Lambda,Illinois,Midwestern,,,,
423,Kappa Delta,New England,Eastern,,,,
527,Kappa Delta Lambda,Michigan,Midwestern,,,,
424,Kappa Epsilon,Oklahoma,Southwestern,,,,
528,Kappa Epsilon Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
530,Kappa Eta Lambda,Southern California,Western,,,,
422,Kappa Gamma,Alabama,Southern,,,,
526,Kappa Gamma Lambda,Arkansas,Southwestern,,,,
428,Kappa Iota,Arkansas,Southwestern,,,,
532,Kappa Iota Lambda,New Jersey,Eastern,,,,
429,Kappa Kappa,Arkansas,Southwestern,,,,
533,Kappa Kappa Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
110,Kappa Lambda,North Carolina,Southern,,,,
430,Kappa Mu,Louisiana,Southwestern,,,,
534,Kappa Mu Lambda,Ohio,Midwestern,,,,
431,Kappa Nu,Louisiana,Southwestern,,,,
535,Kappa Nu Lambda,Alabama,Southern,,,,
433,Kappa Omicron,North Carolina,Southern,,,,
537,Kappa Omicron Lambda,Northern California,Western,,,,
439,Kappa Phi,International,Eastern,,,,
543,Kappa Phi Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
434,Kappa Pi,Virginia,Eastern,,,,
538,Kappa Pi Lambda,Illinois,Midwestern,,,,
441,Kappa Psi,Arkansas,Southwestern,,,,
545,Kappa Psi Lambda,Michigan,Midwestern,,,,
435,Kappa Rho,New York,Eastern,,,,
539,Kappa Rho Lambda,Indiana,Midwestern,,,,
436,Kappa Sigma,Texas,Southwestern,,,,
540,Kappa Sigma Lambda,Texas,Southwestern,,,,
437,Kappa Tau,Kansas,Midwestern,,,,
541,Kappa Tau Lambda,Georgia,Southern,,,,
